deal_no,sales_rep_id,client_id,product_ref,inco_code,status_code,date_created,quote_due_date,quote_submitted_date,date_closed,sales_total,cost_of_sales,gross_profit,finance_cost,profit_after_fc,gross_profit_pct,profit_after_fc_pct
LUB25150,SR003,LUB001,PRD004,FOB,WON,2024-12-18,2024-12-21,2024-12-24,2025-01-02,20045484.27,15139511.04,4905973.23,212718.54,4693254.69,0.2447,0.2341
ZAM25151,SR003,ZAM001,PRD003,DAP,WON,2024-12-15,2024-12-21,2024-12-23,2024-12-29,12648758.68,11057428.68,1591330.0,123750.93,1467579.07,0.1258,0.116
ZAM25152,SR005,ZAM001,PRD002,DAP,QUOTE,2024-12-31,2025-01-03,2025-01-05,,9661377.39,8350589.12,1310788.27,105634.95,1205153.32,0.1357,0.1247
DRX25153,SR004,DRX001,PRD005,EXW,WON,2025-01-16,2025-01-19,2025-01-19,2025-01-24,29395380.11,21036537.39,8358842.72,191842.5,8167000.22,0.2844,0.2778
BUL25154,SR005,BUL001,PRD004,FCA,WON,2024-12-09,2024-12-13,2024-12-14,2024-12-22,24923759.02,21845602.26,3078156.76,235820.45,2842336.31,0.1235,0.114
LUB25155,SR005,LUB001,PRD002,FCA,WON,2024-12-13,2024-12-18,2024-12-21,2024-12-24,15501979.97,11395104.5,4106875.47,150659.1,3956216.37,0.2649,0.2552
KIT25156,SR004,KIT001,PRD006,EXW,WON,2024-12-07,2024-12-13,2024-12-12,2024-12-16,6461814.87,5391752.25,1070062.62,48613.1,1021449.52,0.1656,0.1581
KIT25157,SR005,KIT001,PRD002,EXW,WON,2025-01-24,2025-01-31,2025-01-31,2025-02-05,7727427.47,5916920.63,1810506.84,138575.91,1671930.93,0.2343,0.2164
ZAM25158,SR002,ZAM001,PRD002,FOB,QUOTE,2025-01-05,2025-01-09,2025-01-12,,11485524.34,10061473.69,1424050.65,107274.78,1316775.87,0.124,0.1146
AFR25159,SR005,AFR001,PRD006,FOB,WON,2025-01-19,2025-01-24,2025-01-23,2025-01-28,10791512.1,9890633.42,900878.68,94373.49,806505.19,0.0835,0.0747
KMC25160,SR006,KMC001,PRD001,EXW,WON,2024-12-19,2024-12-26,2024-12-27,2025-01-04,18888068.94,13233326.21,5654742.73,313769.16,5340973.57,0.2994,0.2828
BUL25161,SR003,BUL001,PRD003,FCA,QUOTE,2025-01-07,2025-01-12,2025-01-13,,32647084.76,23227934.98,9419149.78,469879.46,8949270.32,0.2885,0.2741
KIT25162,SR001,KIT001,PRD001,CIF,WON,2024-12-02,2024-12-07,2024-12-07,2024-12-10,16823779.86,15454422.47,1369357.39,305333.53,1064023.86,0.0814,0.0632
LUB25163,SR006,LUB001,PRD001,FOB,WON,2025-01-01,2025-01-03,2025-01-03,2025-01-13,10017671.93,7035628.75,2982043.18,154612.31,2827430.87,0.2977,0.2822
BUL25164,SR003,BUL001,PRD002,EXW,STAGE,2025-01-19,2025-01-22,2025-01-22,,4624698.85,3942924.87,681773.98,34508.34,647265.64,0.1474,0.14
BUL25165,SR006,BUL001,PRD002,CIF,LOST,2025-01-10,2025-01-17,2025-01-19,2025-01-23,2005821.3,1781392.79,224428.51,27767.81,196660.7,0.1119,0.098
LUB25166,SR003,LUB001,PRD004,DAP,STAGE,2024-12-17,2024-12-21,2024-12-20,,9712623.99,8549973.46,1162650.53,90073.05,1072577.48,0.1197,0.1104
BEI25167,SR006,BEI001,PRD003,CIF,WON,2025-01-03,2025-01-06,2025-01-08,2025-01-13,25144227.45,22590693.06,2553534.39,215991.83,2337542.56,0.1016,0.093
ZAM25168,SR004,ZAM001,PRD005,EXW,WON,2025-01-14,2025-01-17,2025-01-19,2025-01-21,1153939.49,883394.13,270545.36,6459.06,264086.3,0.2345,0.2289
ZAM25169,SR003,ZAM001,PRD001,DAP,WON,2025-01-29,2025-02-01,2025-02-01,2025-02-10,11621828.8,10352795.21,1269033.59,171394.0,1097639.59,0.1092,0.0944
BEI25170,SR003,BEI001,PRD006,CIF,WON,2025-01-16,2025-01-19,2025-01-18,2025-01-21,11209607.21,9296191.27,1913415.94,194347.72,1719068.22,0.1707,0.1534
AFR25171,SR005,AFR001,PRD001,DAP,QUOTE,2025-01-07,2025-01-14,2025-01-13,,14567460.72,10399124.27,4168336.45,260617.65,3907718.8,0.2861,0.2682
ZAM25172,SR003,ZAM001,PRD002,DAP,STAGE,2025-01-28,2025-02-03,2025-02-02,,8122175.76,5774943.94,2347231.82,145743.73,2201488.09,0.289,0.271
DRX25173,SR001,DRX001,PRD004,DAP,WON,2024-12-11,2024-12-14,2024-12-13,2024-12-22,28202246.81,24364649.3,3837597.51,235988.78,3601608.73,0.1361,0.1277
BEI25174,SR004,BEI001,PRD001,EXW,STAGE,2025-01-20,2025-01-24,2025-01-25,,4377549.11,3468025.03,909524.08,41034.82,868489.26,0.2078,0.1984
AFR25175,SR006,AFR001,PRD005,CIF,WON,2025-01-08,2025-01-13,2025-01-13,2025-01-22,13093974.52,9186660.12,3907314.4,146004.91,3761309.49,0.2984,0.2873
DRX25176,SR004,DRX001,PRD004,FOB,LOST,2024-12-11,2024-12-18,2024-12-19,2024-12-21,2257306.57,2057255.17,200051.4,25272.47,174778.93,0.0886,0.0774
BUL25177,SR004,BUL001,PRD006,FOB,QUOTE,2025-01-03,2025-01-06,2025-01-08,,4818481.13,3896925.99,921555.14,93783.42,827771.72,0.1913,0.1718
DRX25178,SR003,DRX001,PRD003,DAP,LOST,2024-12-27,2025-01-03,2025-01-04,2025-01-10,8251872.06,7722833.58,529038.48,58107.02,470931.46,0.0641,0.0571
KMC25179,SR002,KMC001,PRD001,CIF,WON,2024-12-22,2024-12-27,2024-12-26,2025-01-04,15372270.1,12497336.91,2874933.19,183701.69,2691231.5,0.187,0.1751
DRX25180,SR003,DRX001,PRD004,FCA,WON,2024-12-21,2024-12-25,2024-12-25,2024-12-26,37842533.32,31749448.01,6093085.31,501482.19,5591603.12,0.161,0.1478
LUB25181,SR003,LUB001,PRD006,FOB,QUOTE,2024-12-18,2024-12-20,2024-12-19,,14877532.4,12816945.42,2060586.98,254993.17,1805593.81,0.1385,0.1214
KMC25182,SR003,KMC001,PRD001,FOB,LOST,2024-12-05,2024-12-08,2024-12-11,2024-12-18,18731678.67,13250238.28,5481440.39,285624.27,5195816.12,0.2926,0.2774
ZAM25183,SR003,ZAM001,PRD002,CIF,WON,2024-12-30,2025-01-02,2025-01-01,2025-01-11,10987350.41,8501751.25,2485599.16,122837.29,2362761.87,0.2262,0.215
BEI25184,SR004,BEI001,PRD006,DAP,WON,2025-01-21,2025-01-26,2025-01-27,2025-02-06,12182888.74,9075691.31,3107197.43,119187.19,2988010.24,0.255,0.2453
DRX25185,SR003,DRX001,PRD005,FOB,STAGE,2025-01-31,2025-02-03,2025-02-06,,32235215.0,25423951.42,6811263.58,566963.72,6244299.86,0.2113,0.1937
ZAM25186,SR002,ZAM001,PRD002,FCA,WON,2025-01-18,2025-01-25,2025-01-26,2025-02-05,4234411.44,3967176.39,267235.05,56970.18,210264.87,0.0631,0.0497
BEI25187,SR005,BEI001,PRD004,FOB,WON,2025-01-10,2025-01-13,2025-01-13,2025-01-19,31266169.61,28485701.09,2780468.52,308091.59,2472376.93,0.0889,0.0791
BUL25188,SR003,BUL001,PRD003,CIF,LOST,2025-01-17,2025-01-22,2025-01-24,2025-01-30,11254222.89,9829326.85,1424896.04,213072.58,1211823.46,0.1266,0.1077
BUL25189,SR002,BUL001,PRD006,FCA,STAGE,2024-12-26,2024-12-30,2024-12-31,,7475238.32,7005771.12,469467.2,143752.36,325714.84,0.0628,0.0436
LUB25190,SR005,LUB001,PRD001,CIF,QUOTE,2025-01-29,2025-02-04,2025-02-04,,7705568.98,6349745.33,1355823.65,76805.46,1279018.19,0.176,0.166
KMC25191,SR002,KMC001,PRD003,DAP,WON,2025-01-27,2025-01-29,2025-01-30,2025-02-07,1693881.54,1479256.62,214624.92,17374.51,197250.41,0.1267,0.1164
LUB25192,SR001,LUB001,PRD004,FCA,QUOTE,2025-01-14,2025-01-17,2025-01-17,,18965662.49,13434387.65,5531274.84,100540.2,5430734.64,0.2916,0.2863
AFR25193,SR001,AFR001,PRD001,DAP,WON,2024-12-26,2024-12-29,2024-12-28,2025-01-06,41863946.56,32841748.89,9022197.67,828032.92,8194164.75,0.2155,0.1957
LUB25194,SR006,LUB001,PRD005,FCA,WON,2024-12-20,2024-12-24,2024-12-24,2024-12-26,4187002.63,3810020.1,376982.53,30581.24,346401.29,0.09,0.0827
KMC25195,SR004,KMC001,PRD001,DAP,STAGE,2025-01-01,2025-01-06,2025-01-07,,5079307.25,3790282.21,1289025.04,92861.88,1196163.16,0.2538,0.2355
BUL25196,SR002,BUL001,PRD004,FOB,WON,2024-12-31,2025-01-04,2025-01-04,2025-01-09,8003434.65,6995944.19,1007490.46,51626.47,955863.99,0.1259,0.1194
KIT25197,SR005,KIT001,PRD002,EXW,WON,2024-12-27,2025-01-03,2025-01-02,2025-01-11,16507353.3,13913575.18,2593778.12,325876.97,2267901.15,0.1571,0.1374
LUB25198,SR002,LUB001,PRD006,CIF,STAGE,2024-12-18,2024-12-22,2024-12-21,,5057940.65,4238622.79,819317.86,90281.02,729036.84,0.162,0.1441
KIT25199,SR001,KIT001,PRD006,FCA,QUOTE,2025-01-21,2025-01-26,2025-01-25,,6176168.87,5231113.33,945055.54,101138.85,843916.69,0.153,0.1366
KMC25200,SR001,KMC001,PRD005,FOB,STAGE,2025-01-26,2025-02-01,2025-02-02,,15492373.76,13380715.46,2111658.3,210391.84,1901266.46,0.1363,0.1227
KIT25201,SR001,KIT001,PRD002,DAP,WON,2025-01-10,2025-01-16,2025-01-18,2025-01-19,18458812.68,16107684.89,2351127.79,105941.86,2245185.93,0.1274,0.1216
KMC25202,SR002,KMC001,PRD002,DAP,LOST,2024-12-30,2025-01-03,2025-01-04,2025-01-11,6991497.82,5666113.63,1325384.19,130751.44,1194632.75,0.1896,0.1709
LUB25203,SR006,LUB001,PRD004,FCA,STAGE,2025-01-23,2025-01-25,2025-01-28,,8091436.76,7099364.71,992072.05,89416.66,902655.39,0.1226,0.1116
BEI25204,SR002,BEI001,PRD002,CIF,STAGE,2024-12-17,2024-12-19,2024-12-21,,3057617.01,2292532.26,765084.75,32182.27,732902.48,0.2502,0.2397
KIT25205,SR005,KIT001,PRD004,FOB,QUOTE,2024-12-17,2024-12-21,2024-12-23,,8986103.49,8245830.02,740273.47,124037.02,616236.45,0.0824,0.0686
BUL25206,SR003,BUL001,PRD002,DAP,QUOTE,2025-01-15,2025-01-17,2025-01-18,,1167481.63,1066442.32,101039.31,19493.97,81545.34,0.0865,0.0698
DRX25207,SR002,DRX001,PRD006,CIF,QUOTE,2024-12-19,2024-12-26,2024-12-28,,22435203.77,21129129.16,1306074.61,341755.37,964319.24,0.0582,0.043
KIT25208,SR002,KIT001,PRD006,CIF,QUOTE,2024-12-02,2024-12-05,2024-12-06,,27753996.35,24373146.67,3380849.68,434087.02,2946762.66,0.1218,0.1062
AFR25209,SR004,AFR001,PRD004,DAP,WON,2024-12-15,2024-12-20,2024-12-21,2024-12-30,18852398.43,13678886.03,5173512.4,238910.9,4934601.5,0.2744,0.2617
AFR25210,SR002,AFR001,PRD002,FCA,STAGE,2025-01-28,2025-01-30,2025-02-02,,9034724.06,6640362.97,2394361.09,48623.34,2345737.75,0.265,0.2596
KIT25211,SR003,KIT001,PRD003,EXW,WON,2025-01-18,2025-01-20,2025-01-23,2025-02-02,16995966.48,14928276.67,2067689.81,259949.43,1807740.38,0.1217,0.1064
ZAM25212,SR006,ZAM001,PRD003,FOB,WON,2024-12-16,2024-12-23,2024-12-24,2024-12-31,16124440.23,12337451.12,3786989.11,151743.35,3635245.76,0.2349,0.2254
LUB25213,SR001,LUB001,PRD002,CIF,LOST,2024-12-23,2024-12-28,2024-12-31,2025-01-08,9119393.22,6794761.33,2324631.89,56651.24,2267980.65,0.2549,0.2487
BUL25214,SR006,BUL001,PRD002,DAP,QUOTE,2024-12-02,2024-12-07,2024-12-08,,10530470.81,8888451.64,1642019.17,77678.3,1564340.87,0.1559,0.1486
KMC25215,SR002,KMC001,PRD005,EXW,QUOTE,2024-12-27,2025-01-01,2025-01-03,,3966905.55,2974598.26,992307.29,42035.4,950271.89,0.2501,0.2395
BEI25216,SR003,BEI001,PRD005,CIF,WON,2024-12-02,2024-12-09,2024-12-09,2024-12-13,14782612.98,10824312.62,3958300.36,158961.24,3799339.12,0.2678,0.257
ZAM25217,SR003,ZAM001,PRD004,DAP,STAGE,2024-12-12,2024-12-17,2024-12-16,,10624536.19,7785675.46,2838860.73,170111.04,2668749.69,0.2672,0.2512
ZAM25218,SR001,ZAM001,PRD003,FOB,WON,2025-01-11,2025-01-15,2025-01-18,2025-01-28,6439099.41,5572992.11,866107.3,95321.3,770786.0,0.1345,0.1197
DRX25219,SR006,DRX001,PRD006,FOB,WON,2025-01-13,2025-01-15,2025-01-18,2025-01-23,22310473.65,17953381.78,4357091.87,412282.58,3944809.29,0.1953,0.1768
BUL25220,SR006,BUL001,PRD004,DAP,WON,2025-01-06,2025-01-11,2025-01-11,2025-01-19,3022392.15,2623159.18,399232.97,56226.17,343006.8,0.1321,0.1135
KIT25221,SR001,KIT001,PRD001,CIF,STAGE,2025-01-25,2025-01-29,2025-01-30,,15793362.28,13971361.81,1822000.47,101471.99,1720528.48,0.1154,0.1089
BEI25222,SR001,BEI001,PRD002,CIF,WON,2025-01-28,2025-02-02,2025-02-05,2025-02-10,9784148.98,8842337.29,941811.69,75759.07,866052.62,0.0963,0.0885
BEI25223,SR002,BEI001,PRD001,EXW,LOST,2025-01-01,2025-01-07,2025-01-09,2025-01-12,23874137.16,20360809.7,3513327.46,428269.47,3085057.99,0.1472,0.1292
ZAM25224,SR004,ZAM001,PRD004,FOB,STAGE,2024-12-30,2025-01-01,2024-12-31,,6468822.43,5667607.31,801215.12,98125.14,703089.98,0.1239,0.1087
DRX25225,SR006,DRX001,PRD003,FCA,WON,2025-01-15,2025-01-21,2025-01-20,2025-01-27,11700154.19,9201438.51,2498715.68,177192.21,2321523.47,0.2136,0.1984
KIT25226,SR003,KIT001,PRD002,DAP,LOST,2024-12-05,2024-12-11,2024-12-11,2024-12-20,15360614.3,11654866.1,3705748.2,182582.7,3523165.5,0.2413,0.2294
KIT25227,SR001,KIT001,PRD004,EXW,WON,2025-01-02,2025-01-09,2025-01-08,2025-01-10,4095478.21,3429040.28,666437.93,71214.76,595223.17,0.1627,0.1453
KIT25228,SR006,KIT001,PRD006,DAP,QUOTE,2024-12-09,2024-12-11,2024-12-11,,2122933.05,1822358.2,300574.85,36087.08,264487.77,0.1416,0.1246
BUL25229,SR006,BUL001,PRD001,FOB,STAGE,2025-01-02,2025-01-05,2025-01-07,,5967829.11,4457287.12,1510541.99,113109.72,1397432.27,0.2531,0.2342
LUB25230,SR002,LUB001,PRD004,CIF,QUOTE,2024-12-08,2024-12-13,2024-12-12,,36335849.62,30783832.7,5552016.92,602527.51,4949489.41,0.1528,0.1362
KIT25231,SR004,KIT001,PRD006,FCA,LOST,2024-12-10,2024-12-15,2024-12-14,2024-12-23,21540179.15,17408828.69,4131350.46,296754.97,3834595.49,0.1918,0.178
ZAM25232,SR006,ZAM001,PRD005,CIF,QUOTE,2024-12-10,2024-12-12,2024-12-14,,20912907.76,16321707.66,4591200.1,381051.13,4210148.97,0.2195,0.2013
LUB25233,SR005,LUB001,PRD006,CIF,WON,2024-12-23,2024-12-27,2024-12-29,2025-01-01,6752099.8,6222797.39,529302.41,85646.47,443655.94,0.0784,0.0657
ZAM25234,SR005,ZAM001,PRD005,DAP,QUOTE,2025-01-19,2025-01-23,2025-01-26,,15383853.3,13334559.58,2049293.72,173255.56,1876038.16,0.1332,0.1219
AFR25235,SR004,AFR001,PRD001,FCA,WON,2024-12-26,2024-12-29,2024-12-28,2024-12-29,9973813.34,7382954.23,2590859.11,92748.82,2498110.29,0.2598,0.2505
DRX25236,SR006,DRX001,PRD006,FCA,WON,2025-01-03,2025-01-10,2025-01-11,2025-01-12,20575495.38,19324001.01,1251494.37,404048.02,847446.35,0.0608,0.0412
DRX25237,SR006,DRX001,PRD002,DAP,WON,2025-01-14,2025-01-16,2025-01-16,2025-01-19,9120403.99,6476932.95,2643471.04,83786.27,2559684.77,0.2898,0.2807
BUL25238,SR005,BUL001,PRD001,FCA,STAGE,2024-12-21,2024-12-26,2024-12-29,,6090127.96,5340557.39,749570.57,78446.49,671124.08,0.1231,0.1102
ZAM25239,SR005,ZAM001,PRD001,FCA,WON,2025-01-05,2025-01-11,2025-01-13,2025-01-15,16838530.86,14579366.12,2259164.74,167812.77,2091351.97,0.1342,0.1242
DRX25240,SR001,DRX001,PRD006,DAP,WON,2025-01-21,2025-01-23,2025-01-25,2025-01-30,10614034.28,9848061.69,765972.59,183958.58,582014.01,0.0722,0.0548
BEI25241,SR006,BEI001,PRD001,CIF,QUOTE,2025-01-20,2025-01-23,2025-01-25,,12959766.37,11756933.75,1202832.62,235602.83,967229.79,0.0928,0.0746
LUB25242,SR006,LUB001,PRD001,CIF,WON,2025-01-16,2025-01-20,2025-01-19,2025-01-21,2351912.97,1794455.5,557457.47,14244.67,543212.8,0.237,0.231
BEI25243,SR006,BEI001,PRD006,FCA,WON,2025-01-18,2025-01-24,2025-01-23,2025-01-25,11120553.09,8590172.98,2530380.11,170013.02,2360367.09,0.2275,0.2123
AFR25244,SR006,AFR001,PRD002,DAP,QUOTE,2025-01-29,2025-02-05,2025-02-06,,7614492.07,6995370.91,619121.16,54219.81,564901.35,0.0813,0.0742
BEI25245,SR001,BEI001,PRD005,FCA,WON,2025-01-06,2025-01-08,2025-01-09,2025-01-13,32008373.45,25157394.42,6850979.03,358167.86,6492811.17,0.214,0.2028
KMC25246,SR003,KMC001,PRD006,FOB,WON,2024-12-14,2024-12-21,2024-12-24,2025-01-01,19981472.99,17340399.65,2641073.34,170202.04,2470871.3,0.1322,0.1237
BUL25247,SR003,BUL001,PRD004,CIF,WON,2024-12-17,2024-12-20,2024-12-22,2024-12-27,10732458.99,9479371.41,1253087.58,194990.4,1058097.18,0.1168,0.0986
ZAM25248,SR005,ZAM001,PRD002,DAP,QUOTE,2025-01-11,2025-01-13,2025-01-12,,35537503.14,30487859.33,5049643.81,610876.74,4438767.07,0.1421,0.1249
LUB25249,SR005,LUB001,PRD002,FOB,QUOTE,2025-01-05,2025-01-11,2025-01-13,,9001494.35,7184313.96,1817180.39,165371.52,1651808.87,0.2019,0.1835
AFR25250,SR002,AFR001,PRD004,FCA,WON,2024-12-27,2024-12-31,2025-01-03,2025-01-04,27368463.92,24676365.36,2692098.56,388920.64,2303177.92,0.0984,0.0842
