deal_no,type,forecast_date,year_week,week_start,week_num,forecast_year,weekly_amount
KMC25035,Inflow,2025-03-21,202512,2025-03-17,12,2025,18763919.02
KMC25035,Outflow,2025-01-25,202504,2025-01-20,4,2025,-2963114.39
KMC25035,Outflow,2025-02-15,202507,2025-02-10,7,2025,-11852457.58
KMC25050,Inflow,2025-01-22,202504,2025-01-20,4,2025,1819489.18
KMC25050,Inflow,2025-03-11,202511,2025-03-10,11,2025,10310438.67
KMC25050,Outflow,2025-01-18,202503,2025-01-13,3,2025,-2484964.81
KMC25050,Outflow,2025-02-13,202507,2025-02-10,7,2025,-5798251.22
KMC25065,Inflow,2025-01-06,202502,2025-01-06,2,2025,6552743.33
KMC25065,Inflow,2025-02-16,202507,2025-02-10,7,2025,15289734.44
KMC25065,Outflow,2025-01-02,202501,2024-12-30,1,2025,-2401628.47
KMC25065,Outflow,2025-01-13,202503,2025-01-13,3,2025,-13609227.98
KMC25068,Inflow,2024-12-15,202450,2024-12-09,50,2024,1735571.29
KMC25068,Inflow,2025-02-04,202506,2025-02-03,6,2025,6942285.16
KMC25068,Outflow,2024-12-11,202450,2024-12-09,50,2024,-631646.58
KMC25068,Outflow,2025-01-02,202501,2024-12-30,1,2025,-5684819.23
KMC25089,Inflow,2025-02-03,202506,2025-02-03,6,2025,760177.62
KMC25089,Inflow,2025-03-20,202512,2025-03-17,12,2025,6841598.56
KMC25089,Outflow,2025-01-30,202505,2025-01-27,5,2025,-544172.9
KMC25089,Outflow,2025-02-13,202507,2025-02-10,7,2025,-4897556.12
KMC25098,Inflow,2025-02-02,202505,2025-01-27,5,2025,580285.84
KMC25098,Inflow,2025-03-24,202513,2025-03-24,13,2025,5222572.52
KMC25098,Outflow,2025-01-31,202505,2025-01-27,5,2025,-396687.89
KMC25098,Outflow,2025-02-18,202508,2025-02-17,8,2025,-3570191.0
KMC25109,Inflow,2024-12-28,202452,2024-12-23,52,2024,1113485.82
KMC25109,Inflow,2025-02-14,202507,2025-02-10,7,2025,6309752.99
KMC25109,Outflow,2024-12-25,202452,2024-12-23,52,2024,-966438.88
KMC25109,Outflow,2025-01-26,202504,2025-01-20,4,2025,-5476486.98
KMC25116,Inflow,2025-01-03,202501,2024-12-30,1,2025,1194535.22
KMC25116,Inflow,2025-02-14,202507,2025-02-10,7,2025,4778140.86
KMC25116,Outflow,2024-12-27,202452,2024-12-23,52,2024,-724651.08
KMC25116,Outflow,2025-01-18,202503,2025-01-13,3,2025,-4106356.11
KMC25160,Inflow,2024-12-26,202452,2024-12-23,52,2024,1888806.89
KMC25160,Inflow,2025-02-27,202509,2025-02-24,9,2025,16999262.05
KMC25160,Outflow,2024-12-22,202451,2024-12-16,51,2024,-2522799.33
KMC25160,Outflow,2025-01-16,202503,2025-01-13,3,2025,-14295862.87
KMC25179,Inflow,2024-12-23,202452,2024-12-23,52,2024,1537227.01
KMC25179,Inflow,2025-01-25,202504,2025-01-20,4,2025,13835043.09
KMC25179,Outflow,2024-12-23,202452,2024-12-23,52,2024,-2615674.78
KMC25179,Outflow,2024-12-29,202452,2024-12-23,52,2024,-10462699.14
KMC25191,Inflow,2025-01-27,202505,2025-01-27,5,2025,169388.15
KMC25191,Inflow,2025-03-28,202513,2025-03-24,13,2025,1524493.39
KMC25191,Outflow,2025-01-30,202505,2025-01-27,5,2025,-439747.79
KMC25191,Outflow,2025-02-10,202507,2025-02-10,7,2025,-1026078.17
KMC25246,Inflow,2024-12-15,202450,2024-12-09,50,2024,3996294.6
KMC25246,Inflow,2025-02-14,202507,2025-02-10,7,2025,15985178.39
KMC25246,Outflow,2024-12-19,202451,2024-12-16,51,2024,-3136706.98
KMC25246,Outflow,2024-12-25,202452,2024-12-23,52,2024,-12546827.94
LUB25032,Inflow,2025-01-22,202504,2025-01-20,4,2025,691468.87
LUB25032,Inflow,2025-02-24,202509,2025-02-24,9,2025,2765875.46
LUB25032,Outflow,2025-01-19,202503,2025-01-13,3,2025,-458902.98
LUB25032,Outflow,2025-02-06,202506,2025-02-03,6,2025,-2600450.21
LUB25048,Inflow,2024-12-28,202452,2024-12-23,52,2024,5197134.25
LUB25048,Inflow,2025-02-05,202506,2025-02-03,6,2025,12126646.57
LUB25048,Outflow,2025-01-01,202501,2024-12-30,1,2025,-3299016.31
LUB25048,Outflow,2025-01-07,202502,2025-01-06,2,2025,-7697704.71
LUB25053,Inflow,2024-12-04,202449,2024-12-02,49,2024,1347569.68
LUB25053,Inflow,2025-01-12,202502,2025-01-06,2,2025,3144329.26
LUB25053,Outflow,2024-12-06,202449,2024-12-02,49,2024,-665561.27
LUB25053,Outflow,2024-12-27,202452,2024-12-23,52,2024,-2662245.1
LUB25073,Inflow,2025-01-04,202501,2024-12-30,1,2025,681241.57
LUB25073,Inflow,2025-01-31,202505,2025-01-27,5,2025,6131174.17
LUB25073,Outflow,2025-01-09,202502,2025-01-06,2,2025,-1276255.97
LUB25073,Outflow,2025-01-15,202503,2025-01-13,3,2025,-2977930.6
LUB25076,Inflow,2025-01-02,202501,2024-12-30,1,2025,2519385.88
LUB25076,Inflow,2025-02-26,202509,2025-02-24,9,2025,22674472.93
LUB25076,Outflow,2025-01-01,202501,2024-12-30,1,2025,-3142152.14
LUB25076,Outflow,2025-01-11,202502,2025-01-06,2,2025,-12568608.58
LUB25113,Inflow,2025-02-07,202506,2025-02-03,6,2025,676399.88
LUB25113,Inflow,2025-03-20,202512,2025-03-17,12,2025,1578266.38
LUB25113,Outflow,2025-02-05,202506,2025-02-03,6,2025,-298608.65
LUB25113,Outflow,2025-02-24,202509,2025-02-24,9,2025,-1194434.62
LUB25130,Inflow,2024-12-21,202451,2024-12-16,51,2024,6211445.69
LUB25130,Inflow,2025-02-04,202506,2025-02-03,6,2025,14493373.27
LUB25130,Outflow,2024-12-23,202452,2024-12-23,52,2024,-2089710.39
LUB25130,Outflow,2025-01-03,202501,2024-12-30,1,2025,-11841692.19
LUB25137,Inflow,2024-12-18,202451,2024-12-16,51,2024,2812098.58
LUB25137,Inflow,2025-02-21,202508,2025-02-17,8,2025,25308887.21
LUB25137,Outflow,2024-12-17,202451,2024-12-16,51,2024,-3336655.8
LUB25137,Outflow,2025-01-11,202502,2025-01-06,2,2025,-18907716.2
LUB25150,Inflow,2024-12-20,202451,2024-12-16,51,2024,6013645.28
LUB25150,Inflow,2025-01-12,202502,2025-01-06,2,2025,14031838.99
LUB25150,Outflow,2024-12-18,202451,2024-12-16,51,2024,-1452880.34
LUB25150,Outflow,2025-01-02,202501,2024-12-30,1,2025,-13075923.09
LUB25155,Inflow,2024-12-13,202450,2024-12-09,50,2024,4650593.99
LUB25155,Inflow,2025-01-12,202502,2025-01-06,2,2025,10851385.98
LUB25155,Outflow,2024-12-16,202451,2024-12-16,51,2024,-3927732.7
LUB25155,Outflow,2024-12-26,202452,2024-12-23,52,2024,-9164709.63
LUB25163,Inflow,2025-01-07,202502,2025-01-06,2,2025,1001767.19
LUB25163,Inflow,2025-02-09,202506,2025-02-03,6,2025,9015904.74
LUB25163,Outflow,2025-01-01,202501,2024-12-30,1,2025,-716185.07
LUB25163,Outflow,2025-01-26,202504,2025-01-20,4,2025,-6445665.66
LUB25194,Inflow,2024-12-20,202451,2024-12-16,51,2024,837400.53
LUB25194,Inflow,2025-02-11,202507,2025-02-10,7,2025,3349602.1
LUB25194,Outflow,2024-12-21,202451,2024-12-16,51,2024,-395103.75
LUB25194,Outflow,2025-01-02,202501,2024-12-30,1,2025,-2238921.25
LUB25233,Inflow,2024-12-26,202452,2024-12-23,52,2024,1350419.96
LUB25233,Inflow,2025-02-07,202506,2025-02-03,6,2025,5401679.84
LUB25233,Outflow,2024-12-28,202452,2024-12-23,52,2024,-712604.56
LUB25233,Outflow,2025-01-11,202502,2025-01-06,2,2025,-4038092.52
LUB25242,Inflow,2025-01-20,202504,2025-01-20,4,2025,352786.95
LUB25242,Inflow,2025-03-27,202513,2025-03-24,13,2025,1999126.02
LUB25242,Outflow,2025-01-21,202504,2025-01-20,4,2025,-490317.99
LUB25242,Outflow,2025-02-01,202505,2025-01-27,5,2025,-1144075.31
ZAM25014,Inflow,2025-01-23,202504,2025-01-20,4,2025,7609662.22
ZAM25014,Inflow,2025-02-18,202508,2025-02-17,8,2025,17755878.52
ZAM25014,Outflow,2025-01-26,202504,2025-01-20,4,2025,-2081803.55
ZAM25014,Outflow,2025-02-03,202506,2025-02-03,6,2025,-18736231.91
ZAM25097,Inflow,2025-01-22,202504,2025-01-20,4,2025,4607856.69
ZAM25097,Inflow,2025-02-22,202508,2025-02-17,8,2025,10751665.6
ZAM25097,Outflow,2025-01-17,202503,2025-01-13,3,2025,-3702074.48
ZAM25097,Outflow,2025-02-04,202506,2025-02-03,6,2025,-8638173.8
ZAM25101,Inflow,2025-01-13,202503,2025-01-13,3,2025,2644405.2
ZAM25101,Inflow,2025-02-17,202508,2025-02-17,8,2025,6170278.8
ZAM25101,Outflow,2025-01-12,202502,2025-01-06,2,2025,-1645480.99
ZAM25101,Outflow,2025-01-27,202505,2025-01-27,5,2025,-3839455.63
ZAM25102,Inflow,2024-12-15,202450,2024-12-09,50,2024,3426363.98
ZAM25102,Inflow,2025-01-27,202505,2025-01-27,5,2025,19416062.53
ZAM25102,Outflow,2024-12-11,202450,2024-12-09,50,2024,-3611465.97
ZAM25102,Outflow,2025-01-05,202501,2024-12-30,1,2025,-14445863.87
ZAM25120,Inflow,2024-12-12,202450,2024-12-09,50,2024,4708666.29
ZAM25120,Inflow,2025-01-26,202504,2025-01-20,4,2025,18834665.18
ZAM25120,Outflow,2024-12-10,202450,2024-12-09,50,2024,-1695707.58
ZAM25120,Outflow,2024-12-21,202451,2024-12-16,51,2024,-15261368.22
ZAM25128,Inflow,2025-01-16,202503,2025-01-13,3,2025,317340.79
ZAM25128,Inflow,2025-03-16,202511,2025-03-10,11,2025,2856067.09
ZAM25128,Outflow,2025-01-14,202503,2025-01-13,3,2025,-241790.28
ZAM25128,Outflow,2025-02-03,202506,2025-02-03,6,2025,-2176112.53
ZAM25140,Inflow,2025-01-12,202502,2025-01-06,2,2025,1969890.89
ZAM25140,Inflow,2025-02-08,202506,2025-02-03,6,2025,17729018.01
ZAM25140,Outflow,2025-01-09,202502,2025-01-06,2,2025,-4149641.89
ZAM25140,Outflow,2025-01-15,202503,2025-01-13,3,2025,-9682497.74
ZAM25151,Inflow,2024-12-15,202450,2024-12-09,50,2024,2529751.74
ZAM25151,Inflow,2025-01-23,202504,2025-01-20,4,2025,10119006.94
ZAM25151,Outflow,2024-12-20,202451,2024-12-16,51,2024,-1200637.62
ZAM25151,Outflow,2025-01-01,202501,2024-12-30,1,2025,-6803613.18
ZAM25168,Inflow,2025-01-20,202504,2025-01-20,4,2025,115393.95
ZAM25168,Inflow,2025-03-29,202513,2025-03-24,13,2025,1038545.54
ZAM25168,Outflow,2025-01-19,202503,2025-01-13,3,2025,-93531.71
ZAM25168,Outflow,2025-02-08,202506,2025-02-03,6,2025,-841785.43
ZAM25169,Inflow,2025-02-02,202505,2025-01-27,5,2025,1162182.88
ZAM25169,Inflow,2025-03-27,202513,2025-03-24,13,2025,10459645.92
ZAM25169,Outflow,2025-01-29,202505,2025-01-27,5,2025,-2347645.86
ZAM25169,Outflow,2025-03-02,202509,2025-02-24,9,2025,-5477840.35
ZAM25183,Inflow,2024-12-30,202501,2024-12-30,1,2025,3296205.12
ZAM25183,Inflow,2025-02-01,202505,2025-01-27,5,2025,7691145.29
ZAM25183,Outflow,2025-01-04,202501,2024-12-30,1,2025,-1087479.05
ZAM25183,Outflow,2025-01-15,202503,2025-01-13,3,2025,-6162381.28
ZAM25186,Inflow,2025-01-25,202504,2025-01-20,4,2025,635161.72
ZAM25186,Inflow,2025-03-26,202513,2025-03-24,13,2025,3599249.72
ZAM25186,Outflow,2025-01-22,202504,2025-01-20,4,2025,-398295.84
ZAM25186,Outflow,2025-02-08,202506,2025-02-03,6,2025,-2257009.75
ZAM25212,Inflow,2024-12-23,202452,2024-12-23,52,2024,1612444.02
ZAM25212,Inflow,2025-01-19,202503,2025-01-13,3,2025,14511996.21
ZAM25212,Outflow,2024-12-20,202451,2024-12-16,51,2024,-3076272.83
ZAM25212,Outflow,2024-12-30,202501,2024-12-30,1,2025,-7177969.93
ZAM25218,Inflow,2025-01-11,202502,2025-01-06,2,2025,643909.94
ZAM25218,Inflow,2025-03-13,202511,2025-03-10,11,2025,5795189.47
ZAM25218,Outflow,2025-01-14,202503,2025-01-13,3,2025,-820442.25
ZAM25218,Outflow,2025-01-27,202505,2025-01-27,5,2025,-3281768.98
ZAM25239,Inflow,2025-01-08,202502,2025-01-06,2,2025,3367706.17
ZAM25239,Inflow,2025-02-20,202508,2025-02-17,8,2025,13470824.69
ZAM25239,Outflow,2025-01-06,202502,2025-01-06,2,2025,-4044690.78
ZAM25239,Outflow,2025-02-09,202506,2025-02-03,6,2025,-9437611.81
